panel,series,Rg_over_lc,Re_over_lc,position_class
10 C,model,0.0969423,0.318686,0
10 C,model,0.233994,0.69161,4
10 C,model,0.234771,0.754122,4
10 C,model,0.237178,0.660788,3
10 C,model,0.0978007,0.0727713,0
10 C,model,0.114984,0.167032,0
10 C,model,0.143844,0.135546,3
10 C,model,0.104517,0.10517,0
10 C,model,0.137422,0.130466,0
10 C,model,0.0777138,0.192836,0
10 C,model,0.0987219,0.302768,0
10 C,model,0.226839,0.665876,4
10 C,model,0.239212,0.793301,4
10 C,model,0.22712,0.623085,2
10 C,model,0.0973542,0.0834284,0
10 C,model,0.113071,0.116659,0
10 C,model,0.140116,0.0807942,3
10 C,model,0.0974845,0.0972815,0
10 C,model,0.136859,0.147891,0
10 C,model,0.0825746,0.140933,0
10 C,model,0.092591,0.275475,0
10 C,model,0.214739,0.598202,4
10 C,model,0.239878,0.745607,4
10 C,model,0.226424,0.568963,2
10 C,model,0.0983041,0.106287,0
10 C,model,0.104682,0.103872,0
10 C,model,0.139418,0.0283384,3
10 C,model,0.0978576,0.109935,0
10 C,model,0.136257,0.133149,0
10 C,model,0.0814726,0.131576,0
10 C,model,0.0899606,0.279185,0
10 C,model,0.204844,0.542229,0
10 C,model,0.244139,0.691896,4
10 C,model,0.211781,0.500528,2
10 C,model,0.100365,0.142797,0
10 C,model,0.107243,0.0485611,0
10 C,model,0.135587,0.0614128,3
10 C,model,0.103973,0.126401,0
10 C,model,0.132474,0.139665,0
10 C,model,0.0814582,0.113358,0
10 C,model,0.0866095,0.245357,0
10 C,model,0.196926,0.484568,0
10 C,model,0.244658,0.698986,4
10 C,model,0.195545,0.439119,2
10 C,model,0.0960559,0.13703,0
10 C,model,0.108629,0.0984324,0
10 C,model,0.144886,0.131981,3
10 C,model,0.1041,0.157385,0
10 C,model,0.135302,0.146985,0
10 C,model,0.0809026,0.125478,0
10 C,model,0.0901849,0.235952,0
10 C,model,0.18404,0.377472,0
10 C,model,0.239145,0.647296,4
10 C,model,0.184144,0.376087,2
10 C,model,0.0896163,0.197546,0
10 C,model,0.108062,0.143719,0
10 C,model,0.153663,0.147242,3
10 C,model,0.106228,0.160039,0
10 C,model,0.13205,0.14603,0
10 C,model,0.0917098,0.129654,0
10 C,model,0.0891731,0.17799,0
10 C,model,0.177178,0.383167,0
10 C,model,0.232406,0.584061,4
10 C,model,0.173844,0.313989,2
10 C,model,0.0865195,0.207832,0
10 C,model,0.113048,0.194744,0
10 C,model,0.160474,0.187854,3
10 C,model,0.111974,0.164201,0
10 C,model,0.128812,0.160591,0
10 C,model,0.0904958,0.0441292,0
10 C,model,0.0903832,0.169531,0
10 C,model,0.161948,0.304387,0
10 C,model,0.218946,0.531144,4
10 C,model,0.160611,0.24479,2
10 C,model,0.0816795,0.169256,0
10 C,model,0.119661,0.195061,0
10 C,model,0.163744,0.183907,3
10 C,model,0.112678,0.175838,0
10 C,model,0.133454,0.242189,0
10 C,model,0.0890875,0.0606699,0
10 C,model,0.0924903,0.13454,0
10 C,model,0.151083,0.268098,0
10 C,model,0.201984,0.466909,3
10 C,model,0.150137,0.190596,2
10 C,model,0.0746425,0.12972,0
10 C,model,0.11663,0.146587,0
10 C,model,0.167921,0.213366,3
10 C,model,0.104963,0.163508,0
10 C,model,0.135624,0.26903,0
10 C,model,0.0890666,0.092295,0
10 C,model,0.0954243,0.134521,0
10 C,model,0.131493,0.212036,0
10 C,model,0.18663,0.388406,3
10 C,model,0.145161,0.127523,2
10 C,model,0.0731876,0.106315,0
10 C,model,0.11298,0.098674,0
10 C,model,0.169356,0.198318,3
10 C,model,0.0992318,0.163037,0
10 C,model,0.140078,0.307305,0
10 C,model,0.0898027,0.144973,0
10 C,model,0.0918656,0.173465,0
