panel,series,tau_tr_min,probability_density_per_min,fitted_tau_tr_min,contour_length_mm
C,model N=40,0.316667,,,22.5
C,model N=40,0.35,,,22.5
C,model N=40,0.666667,,,22.5
C,model N=40,0.416667,,,22.5
C,model N=40,1.1,,,22.5
C,model N=40,4.93333,,,22.5
C,model N=40,1.2,,,22.5
C,model N=40,1.1,,,22.5
C,model N=40,0.183333,,,22.5
C,model N=40,0.666667,,,22.5
C,model N=40,0.233333,,,22.5
C,model N=40,0.316667,,,22.5
C,model N=40,1.11667,,,22.5
C,model N=40,3.4,,,22.5
C,model N=40,1.36667,,,22.5
C,model N=40,0.483333,,,22.5
C,model N=40,0.833333,,,22.5
C,model N=40,4.63333,,,22.5
C,model N=40,0.616667,,,22.5
C,model N=40,0.95,,,22.5
C,model N=40,6.1,,,22.5
C,model N=40,0.266667,,,22.5
C,model N=40,1.66667,,,22.5
C,model N=40,2.05,,,22.5
C,model N=40,1.9,,,22.5
C,model N=40,2.46667,,,22.5
C,model N=40,0.35,,,22.5
C,model N=40,0.616667,,,22.5
C,model N=40,1.21667,,,22.5
C,model N=40,0.2,,,22.5
C,model N=40,2.06667,,,22.5
C,model N=40,0.566667,,,22.5
C,model N=40,0.433333,,,22.5
C,model N=40,2.41667,,,22.5
C,model N=40,0.45,,,22.5
C,model N=40,0.783333,,,22.5
C,model N=40,0.733333,,,22.5
C,model N=40,0.883333,,,22.5
C,model N=40,0.166667,,,22.5
C,model N=40,0.833333,,,22.5
C,model N=40,4.21667,,,22.5
C,model N=40,1.85,,,22.5
C,model N=40,0.65,,,22.5
C,model N=40,0.683333,,,22.5
C,model N=40,1.28333,,,22.5
C,model N=40,1.2,,,22.5
C,model N=40,1.38333,,,22.5
C,model N=40,2.45,,,22.5
C,model N=40,1.51667,,,22.5
C,model N=40,2.93333,,,22.5
C,model N=40,3.63333,,,22.5
C,model N=40,0.316667,,,22.5
C,model N=40,1.06667,,,22.5
C,model N=40,2.4,,,22.5
C,model N=40,2.05,,,22.5
C,model N=40,0.783333,,,22.5
C,model N=40,2.63333,,,22.5
C,model N=40,2.08333,,,22.5
C,model N=40,2.21667,,,22.5
C,model N=40,0.9,,,22.5
C,model N=40,1.98333,,,22.5
C,model N=40,0.433333,,,22.5
C,model N=40,0.45,,,22.5
C,model N=40,1.45,,,22.5
C,model N=40,0.35,,,22.5
C,model N=40,0.866667,,,22.5
C,model N=40,0.55,,,22.5
C,model N=40,1.45,,,22.5
C,model N=40,0.433333,,,22.5
C,model N=40,0.816667,,,22.5
C,model N=40,0.383333,,,22.5
C,model N=40,2.76667,,,22.5
C,model N=40,0.433333,,,22.5
C,model N=40,0.333333,,,22.5
C,model N=40,0.25,,,22.5
C,model N=40,1.06667,,,22.5
C,model N=40,0.533333,,,22.5
C,model N=40,1.48333,,,22.5
C,model N=40,0.283333,,,22.5
C,model N=40,0.483333,,,22.5
C,model N=40,1.46667,,,22.5
C,model N=40,0.5,,,22.5
C,model N=40,0.466667,,,22.5
C,model N=40,1.95,,,22.5
C,model N=40,1,,,22.5
C,model N=40,0.35,,,22.5
C,model N=40,1.48333,,,22.5
C,model N=40,0.833333,,,22.5
C,model N=40,1.18333,,,22.5
C,model N=40,1.33333,,,22.5
C,model N=40,0.683333,,,22.5
C,model N=40,0.333333,,,22.5
C,model N=40,0.516667,,,22.5
C,model N=40,0.583333,,,22.5
C,model N=40,2.78333,,,22.5
C,model N=40,1.78333,,,22.5
C,model N=40,0.283333,,,22.5
C,model N=40,2.53333,,,22.5
C,model N=40,1.43333,,,22.5
C,model N=40,1.25,,,22.5
C,model N=40,3.31667,,,22.5
C,model N=40,0.75,,,22.5
C,model N=40,0.816667,,,22.5
C,model N=40,0.433333,,,22.5
C,model N=40,0.383333,,,22.5
C,model N=40,0.3,,,22.5
C,model N=40,2.68333,,,22.5
C,model N=40,0.866667,,,22.5
C,model N=40,0.916667,,,22.5
C,model N=40,1.16667,,,22.5
C,model N=40,0.216667,,,22.5
C,model N=40,0.333333,,,22.5
C,model N=40,1.11667,,,22.5
C,model N=40,0.383333,,,22.5
C,model N=40,4.76667,,,22.5
C,model N=40,3.05,,,22.5
C,model N=40,0.216667,,,22.5
C,model N=40,2.13333,,,22.5
C,model N=40,2.26667,,,22.5
C,model N=40,0.933333,,,22.5
C,model N=40,0.416667,,,22.5
C,model N=40,2.18333,,,22.5
C,model N=40,1.28333,,,22.5
C,model N=40,1,,,22.5
C,model N=40,1.33333,,,22.5
C,model N=40,1.15,,,22.5
C,model N=40,3.11667,,,22.5
C,model N=40,0.4,,,22.5
C,model N=40,0.816667,,,22.5
C,model N=40,0.783333,,,22.5
C,model N=40,0.283333,,,22.5
C,model N=40,2.83333,,,22.5
C,model N=40,0.783333,,,22.5
C,model N=40,1.5,,,22.5
C,model N=40,1.5,,,22.5
C,model N=40,2.23333,,,22.5
C,model N=40,1.48333,,,22.5
C,model N=40,1.61667,,,22.5
C,model N=40,4.71667,,,22.5
C,model N=40,0.383333,,,22.5
C,model N=40,2.65,,,22.5
C,model N=40,0.516667,,,22.5
C,model N=40,0.166667,,,22.5
C,model N=40,0.466667,,,22.5
C,model N=40,1.46667,,,22.5
C,model N=40,0.283333,,,22.5
C,model N=40,2.8,,,22.5
C,model N=40,1.53333,,,22.5
C,model N=40,0.333333,,,22.5
C,model N=40,1.45,,,22.5
C,model N=40,2.1,,,22.5
C,model N=40,1.13333,,,22.5
C,model N=40,0.516667,,,22.5
C,model N=40,0.5,,,22.5
C,model N=40,2.41667,,,22.5
C,model N=40,1.16667,,,22.5
C,model N=40,0.5,,,22.5
C,model N=40,0.916667,,,22.5
C,model N=40,0.433333,,,22.5
C,model N=40,0.8,,,22.5
C,model N=40,0.883333,,,22.5
C,model N=40,1.66667,,,22.5
C,model N=40,3.46667,,,22.5
C,model N=40,1.53333,,,22.5
C,model N=40,1.03333,,,22.5
C,model N=40,0.3,,,22.5
C,model N=40,5.88333,,,22.5
C,model N=40,0.566667,,,22.5
C,model N=40,1.78333,,,22.5
C,model N=40,1.86667,,,22.5
C,model N=40,0.45,,,22.5
C,model N=40,1.05,,,22.5
C,model N=40,1.1,,,22.5
C,model N=40,0.433333,,,22.5
C,model N=40,1.26667,,,22.5
C,model N=40,0.433333,,,22.5
C,model N=40,2.51667,,,22.5
C,model N=40,1.61667,,,22.5
C,model N=40,0.35,,,22.5
C,model N=40,0.833333,,,22.5
C,model N=40,1.03333,,,22.5
C,model N=40,0.666667,,,22.5
C,model N=40,4.1,,,22.5
C,model N=40,1.06667,,,22.5
C,model N=40,2.3,,,22.5
C,model N=40,0.433333,,,22.5
C,model N=40,2.33333,,,22.5
C,model N=40,0.25,,,22.5
C,model N=40,0.316667,,,22.5
C,model N=40,2.11667,,,22.5
C,model N=40,0.833333,,,22.5
C,model N=40,1.75,,,22.5
C,model N=40,1.38333,,,22.5
C,model N=40,0.75,,,22.5
C,model N=40,0.55,,,22.5
C,model N=40,0.783333,,,22.5
C,model N=40,0.4,,,22.5
C,model N=40,2.33333,,,22.5
C,model N=40,0.333333,,,22.5
C,model N=40,3.35,,,22.5
C,model N=40,1.36667,,,22.5
C,model N=40,5.88333,,,22.5
C,model N=40,0.233333,,,22.5
C,model N=40,1.36667,,,22.5
C,model N=40,1.45,,,22.5
C,model N=40,2.56667,,,22.5
C,model N=40,1.68333,,,22.5
C,model N=40,1.93333,,,22.5
C,model N=40,0.4,,,22.5
C,model N=40,0.35,,,22.5
C,model N=40,2.4,,,22.5
C,model N=40,0.2,,,22.5
C,model N=40,1.46667,,,22.5
C,model N=40,1,,,22.5
C,model N=40,5.48333,,,22.5
C,model N=40,3.45,,,22.5
C,model N=40,0.816667,,,22.5
C,model N=40,7.15,,,22.5
C,model N=40,0.233333,,,22.5
C,model N=40,2.71667,,,22.5
C,model N=40,2.16667,,,22.5
C,model N=40,2.13333,,,22.5
C,model N=40,2.1,,,22.5
C,model N=40,1.06667,,,22.5
C,model N=40,0.716667,,,22.5
C,model N=40,3.6,,,22.5
C,model N=40,0.866667,,,22.5
C,model N=40,0.35,,,22.5
C,model N=40,2.21667,,,22.5
C,model N=40,0.533333,,,22.5
C,model N=40,0.566667,,,22.5
C,model N=40,0.35,,,22.5
C,model N=40,0.616667,,,22.5
C,model N=40,0.616667,,,22.5
C,model N=40,0.35,,,22.5
C,model N=40,0.566667,,,22.5
C,model N=40,0.45,,,22.5
C,model N=40,1.2,,,22.5
C,model N=40,0.733333,,,22.5
C,model N=40,0.383333,,,22.5
C,model N=40,1.3,,,22.5
C,model N=40,0.616667,,,22.5
C,model N=40,0.316667,,,22.5
C,model N=40,0.4,,,22.5
C,model N=40,2.81667,,,22.5
C,model N=40,3.58333,,,22.5
C,model N=40,2.8,,,22.5
C,model N=40,0.783333,,,22.5
C,model N=40,2.35,,,22.5
C,model N=40,0.4,,,22.5
C,model N=40,0.366667,,,22.5
C,model N=40,0.283333,,,22.5
C,model N=40,0.766667,,,22.5
C,model N=40,0.366667,,,22.5
C,model N=40,1.55,,,22.5
C,model N=40,0.166667,,,22.5
C,model N=40,0.383333,,,22.5
C,model N=40,4.95,,,22.5
C,model N=40,3.46667,,,22.5
C,model N=40,3.78333,,,22.5
C,model N=40,0.216667,,,22.5
C,model N=40,3.23333,,,22.5
C,model N=40,1.18333,,,22.5
C,model N=40,0.633333,,,22.5
C,model N=40,0.466667,,,22.5
C,model N=40,0.433333,,,22.5
C,model N=40,1.81667,,,22.5
C,model N=40,0.466667,,,22.5
C,model N=40,0.933333,,,22.5
C,model N=40,0.6,,,22.5
C,model N=40,0.483333,,,22.5
C,model N=40,2.06667,,,22.5
C,model N=40,1.7,,,22.5
C,model N=40,0.6,,,22.5
C,model N=40,0.383333,,,22.5
C,model N=40,0.633333,,,22.5
C,model N=40,0.216667,,,22.5
C,model N=40,0.416667,,,22.5
C,model N=40,1.08333,,,22.5
C,model N=40,0.366667,,,22.5
C,model N=40,0.316667,,,22.5
C,model N=40,2.65,,,22.5
C,model N=40,1.3,,,22.5
C,model N=40,2.4,,,22.5
C,model N=40,2.03333,,,22.5
C,model N=40,1.51667,,,22.5
C,model N=40,0.433333,,,22.5
C,model N=40,0.866667,,,22.5
C,model N=40,1,,,22.5
C,model N=40,1.1,,,22.5
C,model N=40,1.45,,,22.5
C,model N=40,2.01667,,,22.5
C,model N=40,1.06667,,,22.5
C,model N=40,1.13333,,,22.5
C,model N=40,8.58333,,,22.5
C,model N=40,0.566667,,,22.5
C,model N=40,0.183333,,,22.5
C,model N=40,1.08333,,,22.5
C,model N=40,1.95,,,22.5
C,model N=40,1.31667,,,22.5
C,model N=40,0.35,,,22.5
C,model N=40,1.81667,,,22.5
C,model N=40,1.45,,,22.5
C,model N=40,2.25,,,22.5
C,model N=40,3.11667,,,22.5
C,model N=40,1.55,,,22.5
C,model N=40,2.08333,,,22.5
C,model N=40,0.766667,,,22.5
C,model N=40,5.35,,,22.5
C,model N=40,2.16667,,,22.5
C,model N=40,0.766667,,,22.5
C,model N=40,0.683333,,,22.5
C,model N=40,0.283333,,,22.5
C,model N=40,0.283333,,,22.5
C,model N=40,0.316667,,,22.5
C,model N=40,0.333333,,,22.5
C,model N=40,5.91667,,,22.5
C,model N=40,2.16667,,,22.5
C,model N=40,2.61667,,,22.5
C,model N=40,0.45,,,22.5
C,model N=40,0.433333,,,22.5
C,model N=40,0.316667,,,22.5
C,model N=40,0.383333,,,22.5
C,model N=40,0.9,,,22.5
C,model N=40,0.666667,,,22.5
C,model N=40,0.516667,,,22.5
C,model N=40,0.783333,,,22.5
C,model N=40,2.01667,,,22.5
C,model N=40,5.75,,,22.5
C,model N=40,1.15,,,22.5
C,model N=40,1.36667,,,22.5
C,model N=40,0.933333,,,22.5
C,model N=40,0.866667,,,22.5
C,model N=40,5.35,,,22.5
C,model N=40,3.41667,,,22.5
C,model N=40,0.533333,,,22.5
C,model N=40,0.566667,,,22.5
C,model N=40,0.333333,,,22.5
C,model N=40,0.233333,,,22.5
C,model N=40,0.383333,,,22.5
C,model N=40,0.566667,,,22.5
C,model N=40,1.05,,,22.5
C,model N=40,2.5,,,22.5
C,model N=40,1.35,,,22.5
C,model N=40,0.333333,,,22.5
C,model N=40,6.38333,,,22.5
C,model N=40,0.366667,,,22.5
C,model N=40,0.35,,,22.5
C,model N=40,0.616667,,,22.5
C,model N=40,1.88333,,,22.5
C,model N=40,0.7,,,22.5
C,model N=40,0.8,,,22.5
C,model N=40,1.75,,,22.5
C,model N=50,1.7,,,27.5
C,model N=50,1.13333,,,27.5
C,model N=50,1.1,,,27.5
C,model N=50,2.11667,,,27.5
C,model N=50,0.516667,,,27.5
C,model N=50,0.4,,,27.5
C,model N=50,3.51667,,,27.5
C,model N=50,0.416667,,,27.5
C,model N=50,2.11667,,,27.5
C,model N=50,0.283333,,,27.5
C,model N=50,3.38333,,,27.5
C,model N=50,2.81667,,,27.5
C,model N=50,1.93333,,,27.5
C,model N=50,0.95,,,27.5
C,model N=50,0.983333,,,27.5
C,model N=50,0.45,,,27.5
C,model N=50,2.41667,,,27.5
C,model N=50,0.5,,,27.5
C,model N=50,0.483333,,,27.5
C,model N=50,3.58333,,,27.5
C,model N=50,0.466667,,,27.5
C,model N=50,0.383333,,,27.5
C,model N=50,0.516667,,,27.5
C,model N=50,1.46667,,,27.5
C,model N=50,1.81667,,,27.5
C,model N=50,2.23333,,,27.5
C,model N=50,1.16667,,,27.5
C,model N=50,0.383333,,,27.5
C,model N=50,2.41667,,,27.5
C,model N=50,1.85,,,27.5
C,model N=50,2.55,,,27.5
C,model N=50,1.16667,,,27.5
C,model N=50,0.466667,,,27.5
C,model N=50,0.4,,,27.5
C,model N=50,2.06667,,,27.5
C,model N=50,0.283333,,,27.5
C,model N=50,0.566667,,,27.5
C,model N=50,5.75,,,27.5
C,model N=50,0.8,,,27.5
C,model N=50,1.9,,,27.5
C,model N=50,0.783333,,,27.5
C,model N=50,0.516667,,,27.5
C,model N=50,2.68333,,,27.5
C,model N=50,0.166667,,,27.5
C,model N=50,1.86667,,,27.5
C,model N=50,2.85,,,27.5
C,model N=50,0.5,,,27.5
C,model N=50,0.533333,,,27.5
C,model N=50,1.03333,,,27.5
C,model N=50,0.416667,,,27.5
C,model N=50,0.35,,,27.5
C,model N=50,0.483333,,,27.5
C,model N=50,0.266667,,,27.5
C,model N=50,1.11667,,,27.5
C,model N=50,0.733333,,,27.5
C,model N=50,1.81667,,,27.5
C,model N=50,1.63333,,,27.5
C,model N=50,2.08333,,,27.5
C,model N=50,1.9,,,27.5
C,model N=50,0.416667,,,27.5
C,model N=50,2.98333,,,27.5
C,model N=50,0.4,,,27.5
C,model N=50,0.233333,,,27.5
C,model N=50,0.316667,,,27.5
C,model N=50,0.733333,,,27.5
C,model N=50,2.28333,,,27.5
C,model N=50,1.41667,,,27.5
C,model N=50,1.33333,,,27.5
C,model N=50,3.1,,,27.5
C,model N=50,2.28333,,,27.5
C,model N=50,1.38333,,,27.5
C,model N=50,0.5,,,27.5
C,model N=50,0.416667,,,27.5
C,model N=50,1.23333,,,27.5
C,model N=50,0.166667,,,27.5
C,model N=50,0.233333,,,27.5
C,model N=50,1.18333,,,27.5
C,model N=50,0.45,,,27.5
C,model N=50,0.766667,,,27.5
C,model N=50,1.63333,,,27.5
C,model N=50,0.466667,,,27.5
C,model N=50,0.583333,,,27.5
C,model N=50,5.13333,,,27.5
C,model N=50,1.63333,,,27.5
C,model N=50,0.55,,,27.5
C,model N=50,0.866667,,,27.5
C,model N=50,0.383333,,,27.5
C,model N=50,3.3,,,27.5
C,model N=50,0.533333,,,27.5
C,model N=50,1.7,,,27.5
C,model N=50,1.25,,,27.5
C,model N=50,0.516667,,,27.5
C,model N=50,0.8,,,27.5
C,model N=50,0.233333,,,27.5
C,model N=50,1.23333,,,27.5
C,model N=50,2.96667,,,27.5
C,model N=50,0.483333,,,27.5
C,model N=50,3.96667,,,27.5
C,model N=50,1.26667,,,27.5
C,model N=50,1.83333,,,27.5
C,model N=50,0.3,,,27.5
C,model N=50,1.36667,,,27.5
C,model N=50,3.46667,,,27.5
C,model N=50,1.3,,,27.5
C,model N=50,2.88333,,,27.5
C,model N=50,4.05,,,27.5
C,model N=50,1,,,27.5
C,model N=50,0.233333,,,27.5
C,model N=50,0.35,,,27.5
C,model N=50,0.433333,,,27.5
C,model N=50,0.916667,,,27.5
C,model N=50,0.883333,,,27.5
C,model N=50,2.21667,,,27.5
C,model N=50,0.816667,,,27.5
C,model N=50,3.03333,,,27.5
C,model N=50,0.316667,,,27.5
C,model N=50,2.01667,,,27.5
C,model N=50,0.766667,,,27.5
C,model N=50,0.733333,,,27.5
C,model N=50,1.05,,,27.5
C,model N=50,0.366667,,,27.5
C,model N=50,1.51667,,,27.5
C,model N=50,1.75,,,27.5
C,model N=50,1.45,,,27.5
C,model N=50,0.9,,,27.5
C,model N=50,1.2,,,27.5
C,model N=50,0.516667,,,27.5
C,model N=50,3.78333,,,27.5
C,model N=50,1.41667,,,27.5
C,model N=50,1.61667,,,27.5
C,model N=50,0.316667,,,27.5
C,model N=50,1.05,,,27.5
C,model N=50,0.416667,,,27.5
C,model N=50,0.75,,,27.5
C,model N=50,0.85,,,27.5
C,model N=50,2.71667,,,27.5
C,model N=50,0.933333,,,27.5
C,model N=50,1.1,,,27.5
C,model N=50,2.35,,,27.5
C,model N=50,1.05,,,27.5
C,model N=50,0.766667,,,27.5
C,model N=50,2.68333,,,27.5
C,model N=50,1.48333,,,27.5
C,model N=50,2.95,,,27.5
C,model N=50,0.516667,,,27.5
C,model N=50,1.93333,,,27.5
C,model N=50,0.683333,,,27.5
C,model N=50,1.33333,,,27.5
C,model N=50,1.36667,,,27.5
C,model N=50,0.333333,,,27.5
C,model N=50,1.45,,,27.5
C,model N=50,1.85,,,27.5
C,model N=50,0.433333,,,27.5
C,model N=50,2.31667,,,27.5
C,model N=50,3.01667,,,27.5
C,model N=50,0.433333,,,27.5
C,model N=50,0.983333,,,27.5
C,model N=50,0.166667,,,27.5
C,model N=50,1.23333,,,27.5
C,model N=50,0.216667,,,27.5
C,model N=50,2.86667,,,27.5
C,model N=50,2.78333,,,27.5
C,model N=50,3.51667,,,27.5
C,model N=50,0.416667,,,27.5
C,model N=50,0.466667,,,27.5
C,model N=50,0.883333,,,27.5
C,model N=50,1.55,,,27.5
C,model N=50,0.983333,,,27.5
C,model N=50,0.416667,,,27.5
C,model N=50,0.35,,,27.5
C,model N=50,0.5,,,27.5
C,model N=50,2.46667,,,27.5
C,model N=50,3.15,,,27.5
C,model N=50,0.233333,,,27.5
C,model N=50,1.31667,,,27.5
C,model N=50,0.616667,,,27.5
C,model N=50,1.41667,,,27.5
C,model N=50,3.7,,,27.5
C,model N=50,2.21667,,,27.5
C,model N=50,2.06667,,,27.5
C,model N=50,1.16667,,,27.5
C,model N=50,1.05,,,27.5
C,model N=50,0.333333,,,27.5
C,model N=50,2.83333,,,27.5
C,model N=50,3.71667,,,27.5
C,model N=50,2.05,,,27.5
C,model N=50,2.13333,,,27.5
C,model N=50,0.333333,,,27.5
C,model N=50,0.366667,,,27.5
C,model N=50,1.06667,,,27.5
C,model N=50,0.4,,,27.5
C,model N=50,1.96667,,,27.5
C,model N=50,0.416667,,,27.5
C,model N=50,1.93333,,,27.5
C,model N=50,0.35,,,27.5
C,model N=50,0.233333,,,27.5
C,model N=50,0.566667,,,27.5
C,model N=50,0.8,,,27.5
C,model N=50,1.96667,,,27.5
C,model N=50,0.666667,,,27.5
C,model N=50,0.316667,,,27.5
C,model N=50,0.4,,,27.5
C,model N=50,6.26667,,,27.5
C,model N=50,3.3,,,27.5
C,model N=50,1.8,,,27.5
C,model N=50,1.71667,,,27.5
C,model N=50,3.55,,,27.5
C,model N=50,0.516667,,,27.5
C,model N=50,0.883333,,,27.5
C,model N=50,1.61667,,,27.5
C,model N=50,0.483333,,,27.5
C,model N=50,0.416667,,,27.5
C,model N=50,0.416667,,,27.5
C,model N=50,2.6,,,27.5
C,model N=50,2.26667,,,27.5
C,model N=50,2.88333,,,27.5
C,model N=50,2.66667,,,27.5
C,model N=50,0.883333,,,27.5
C,model N=50,2.25,,,27.5
C,model N=50,0.416667,,,27.5
C,model N=50,0.85,,,27.5
C,model N=50,1.66667,,,27.5
C,model N=50,1.56667,,,27.5
C,model N=50,2.16667,,,27.5
C,model N=50,0.7,,,27.5
C,model N=50,0.55,,,27.5
C,model N=50,0.416667,,,27.5
C,model N=50,2.01667,,,27.5
C,model N=50,0.616667,,,27.5
C,model N=50,0.3,,,27.5
C,model N=50,0.9,,,27.5
C,model N=50,1.85,,,27.5
C,model N=50,0.866667,,,27.5
C,model N=50,0.383333,,,27.5
C,model N=50,0.25,,,27.5
C,model N=50,0.883333,,,27.5
C,model N=50,0.366667,,,27.5
C,model N=50,0.25,,,27.5
C,model N=50,3.41667,,,27.5
C,model N=50,1.08333,,,27.5
C,model N=50,0.95,,,27.5
C,model N=50,1.48333,,,27.5
C,model N=50,2.25,,,27.5
C,model N=50,0.55,,,27.5
C,model N=50,0.883333,,,27.5
C,model N=50,0.916667,,,27.5
C,model N=50,3.61667,,,27.5
C,model N=50,1.16667,,,27.5
C,model N=50,0.433333,,,27.5
C,model N=50,1.01667,,,27.5
C,model N=50,4.55,,,27.5
C,model N=50,0.383333,,,27.5
C,model N=50,0.35,,,27.5
C,model N=50,1.51667,,,27.5
C,model N=50,3.03333,,,27.5
C,model N=50,2.31667,,,27.5
C,model N=50,2.95,,,27.5
C,model N=50,0.9,,,27.5
C,model N=50,4.28333,,,27.5
C,model N=50,1.71667,,,27.5
C,model N=50,0.333333,,,27.5
C,model N=50,0.75,,,27.5
C,model N=50,1.01667,,,27.5
C,model N=50,0.333333,,,27.5
C,model N=50,5.41667,,,27.5
C,model N=50,0.55,,,27.5
C,model N=50,0.35,,,27.5
C,model N=50,0.966667,,,27.5
C,model N=50,3.6,,,27.5
C,model N=50,0.4,,,27.5
C,model N=50,3.18333,,,27.5
C,model N=50,2.06667,,,27.5
C,model N=50,0.3,,,27.5
C,model N=50,1.26667,,,27.5
C,model N=50,0.666667,,,27.5
C,model N=50,0.233333,,,27.5
C,model N=50,0.633333,,,27.5
C,model N=50,2.85,,,27.5
C,model N=50,1.4,,,27.5
C,model N=50,3.11667,,,27.5
C,model N=50,3.43333,,,27.5
C,model N=50,0.2,,,27.5
C,model N=50,0.8,,,27.5
C,model N=50,0.8,,,27.5
C,model N=50,0.45,,,27.5
C,model N=50,0.4,,,27.5
C,model N=50,1.15,,,27.5
C,model N=50,1.55,,,27.5
C,model N=50,3.48333,,,27.5
C,model N=50,0.8,,,27.5
C,model N=50,3.61667,,,27.5
C,model N=50,2.45,,,27.5
C,model N=50,0.416667,,,27.5
C,model N=50,2.35,,,27.5
C,model N=50,0.616667,,,27.5
C,model N=50,3.53333,,,27.5
C,model N=50,0.2,,,27.5
C,model N=50,0.583333,,,27.5
C,model N=50,0.45,,,27.5
C,model N=50,2.85,,,27.5
C,model N=50,3.11667,,,27.5
C,model N=50,3.6,,,27.5
C,model N=50,0.233333,,,27.5
C,model N=50,0.6,,,27.5
C,model N=50,0.533333,,,27.5
C,model N=50,0.316667,,,27.5
C,model N=50,0.433333,,,27.5
C,model N=50,0.7,,,27.5
C,model N=50,0.716667,,,27.5
C,model N=50,2.25,,,27.5
C,model N=50,0.716667,,,27.5
C,model N=50,0.366667,,,27.5
C,model N=50,1.1,,,27.5
C,model N=50,1.61667,,,27.5
C,model N=50,0.4,,,27.5
C,model N=50,0.333333,,,27.5
C,model N=50,1.95,,,27.5
C,model N=50,0.433333,,,27.5
C,model N=50,3.68333,,,27.5
C,model N=50,0.333333,,,27.5
C,model N=50,0.333333,,,27.5
C,model N=50,0.883333,,,27.5
C,model N=50,1.36667,,,27.5
C,model N=50,0.2,,,27.5
C,model N=50,0.383333,,,27.5
C,model N=50,0.8,,,27.5
C,model N=50,2.23333,,,27.5
C,model N=50,0.416667,,,27.5
C,model N=50,2.9,,,27.5
C,model N=50,5.73333,,,27.5
C,model N=50,1.21667,,,27.5
C,model N=50,0.383333,,,27.5
C,model N=50,0.483333,,,27.5
C,model N=50,1.11667,,,27.5
C,model N=50,1.26667,,,27.5
C,model N=50,0.9,,,27.5
C,model N=50,2.08333,,,27.5
C,model N=50,0.55,,,27.5
C,model N=50,0.55,,,27.5
C,model N=50,0.866667,,,27.5
C,model N=50,0.616667,,,27.5
C,model N=50,0.383333,,,27.5
C,model N=50,2.35,,,27.5
C,model N=50,3.28333,,,27.5
C,model N=50,2.26667,,,27.5
C,model N=50,0.2,,,27.5
C,model N=50,1.15,,,27.5
C,model N=50,0.366667,,,27.5
C,model N=50,0.266667,,,27.5
C,model N=50,4,,,27.5
C,model N=50,3.83333,,,27.5
C,model N=50,0.45,,,27.5
C,model N=50,0.933333,,,27.5
C,model N=50,0.333333,,,27.5
C,model N=50,0.716667,,,27.5
C,model N=50,0.25,,,27.5
C,model N=50,0.166667,,,27.5
C,model N=50,0.25,,,27.5
C,model N=50,2.63333,,,27.5
C,model N=50,0.266667,,,27.5
C,model N=50,2.76667,,,27.5
C,model N=50,1.98333,,,27.5
C,model N=50,1.6,,,27.5
C,model N=50,0.833333,,,27.5
C,model N=50,1.3,,,27.5
C,model N=50,0.75,,,27.5
C,model N=50,0.666667,,,27.5
C,model N=50,1.21667,,,27.5
C,model N=50,0.266667,,,27.5
C,model N=50,1.06667,,,27.5
C,model N=50,0.283333,,,27.5
C,model N=50,4.61667,,,27.5
C,model N=50,1.31667,,,27.5
C,model N=50,2.5,,,27.5
C,model N=50,2.25,,,27.5
C,model N=50,3.28333,,,27.5
C,model N=50,0.566667,,,27.5
C,model N=50,0.55,,,27.5
C,model N=50,0.883333,,,27.5
C,model N=50,3.01667,,,27.5
C,model N=50,2.91667,,,27.5
C,model N=50,1.46667,,,27.5
C,model N=50,3.11667,,,27.5
C,model N=50,0.516667,,,27.5
C,model N=50,0.616667,,,27.5
C,model N=50,1.18333,,,27.5
C,model N=50,7.73333,,,27.5
C,model N=50,4.65,,,27.5
C,model N=50,0.6,,,27.5
C,model N=50,2.15,,,27.5
C,model N=50,0.983333,,,27.5
C,model N=50,1.05,,,27.5
C,model N=50,0.366667,,,27.5
C,model N=50,0.716667,,,27.5
C,model N=50,1.48333,,,27.5
C,model N=50,0.533333,,,27.5
C,model N=50,1.15,,,27.5
C,model N=50,0.416667,,,27.5
C,model N=50,0.35,,,27.5
C,model N=50,1.56667,,,27.5
C,model N=50,0.3,,,27.5
C,model N=50,1.23333,,,27.5
C,model N=50,4.15,,,27.5
C,model N=50,1.05,,,27.5
C,model N=50,0.766667,,,27.5
C,model N=50,0.55,,,27.5
C,model N=50,2.93333,,,27.5
C,model N=50,2.15,,,27.5
C,model N=50,1.58333,,,27.5
C,model N=50,0.433333,,,27.5
C,model N=50,2.25,,,27.5
C,model N=50,0.183333,,,27.5
C,model N=50,0.966667,,,27.5
C,model N=50,0.366667,,,27.5
C,model N=50,0.483333,,,27.5
C,model N=50,0.766667,,,27.5
C,model N=50,0.233333,,,27.5
C,model N=50,0.283333,,,27.5
C,model N=50,0.983333,,,27.5
C,model N=50,1.03333,,,27.5
C,model N=50,0.8,,,27.5
C,model N=50,0.7,,,27.5
C,model N=50,1.61667,,,27.5
C,model N=50,2.76667,,,27.5
C,model N=50,2.5,,,27.5
C,model N=50,0.883333,,,27.5
C,model N=50,2.25,,,27.5
C,model N=50,3.33333,,,27.5
C,model N=50,1.85,,,27.5
C,model N=50,1.33333,,,27.5
C,model N=50,0.5,,,27.5
C,model N=50,0.833333,,,27.5
C,model N=50,1.41667,,,27.5
C,model N=50,0.35,,,27.5
C,model N=50,0.166667,,,27.5
C,model N=50,0.933333,,,27.5
