panel,series,tau_ec_min,tau_tr_min,fa_nN,kappa_over_uE,T_star,temperature_C,shannon_entropy_H,tau_tr_over_tau_e0,fit_slope_per_H,fit_intercept
C,model,,,30,0.8,0.3,,5.21098,12.7655,,
C,model,,,30,1,0.3,,5.39314,8.68093,,
C,model,,,31,0.414,0.097,,5.64134,7.59739,,
C,model,,,40,0.3,0.1,,5.34062,20.6122,,
C,model,,,40,0.4,0.1,,5.43027,11.3855,,
C,model,,,40,0.5,0.1,,5.68367,7.16614,,
C,model,,,40,0.65,0.1,,5.73255,5.20106,,
C,model,,,40,0.8,0.1,,5.69439,4.24438,,
C,model,,,40,1,0.1,,5.61659,3.51077,,
C,model,,,40,0.3,0.2,,4.91499,37.4617,,
C,model,,,40,0.4,0.2,,5.07468,19.9529,,
C,model,,,40,0.5,0.2,,5.24371,15.2718,,
C,model,,,40,0.65,0.2,,5.42145,10.5779,,
C,model,,,40,0.8,0.2,,5.52545,7.83767,,
C,model,,,40,1,0.2,,5.65704,5.59886,,
C,model,,,40,0.3,0.3,,4.86243,24.78,,
C,model,,,40,0.5,0.3,,4.96783,20.3991,,
C,model,,,40,0.65,0.3,,5.13318,15.6557,,
C,model,,,40,0.8,0.3,,5.24189,12.8387,,
C,model,,,40,1,0.3,,5.36691,9.81279,,
C,model,,,50,0.35,0.08,,5.59796,13.3845,,
C,model,,,50,0.4,0.08,,5.66282,8.97136,,
C,model,,,50,0.5,0.08,,5.75855,6.8757,,
C,model,,,50,0.65,0.08,,5.74469,4.91172,,
C,model,,,50,0.3,0.1,,5.28592,22.0712,,
C,model,,,50,0.35,0.1,,5.3768,18.9148,,
C,model,,,50,0.4,0.1,,5.48583,12.4228,,
C,model,,,50,0.5,0.1,,5.68329,8.07041,,
C,model,,,50,0.6,0.1,,5.6461,7.18083,,
C,model,,,50,0.65,0.1,,5.78026,4.91201,,
C,model,,,50,0.8,0.1,,5.7166,4.4506,,
C,model,,,50,1,0.1,,5.5923,3.53291,,
C,model,,,50,0.35,0.15,,5.16193,24.8279,,
C,model,,,50,0.4,0.15,,5.30258,16.4493,,
C,model,,,50,0.5,0.15,,5.44132,11.2665,,
C,model,,,50,0.65,0.15,,5.58376,7.17448,,
C,model,,,50,0.3,0.2,,4.97178,26.9381,,
C,model,,,50,0.35,0.2,,5.0156,24.8921,,
C,model,,,50,0.4,0.2,,5.06488,22.8544,,
C,model,,,50,0.5,0.2,,5.22738,15.9846,,
C,model,,,50,0.65,0.2,,5.42788,10.8222,,
C,model,,,50,0.8,0.2,,5.53811,8.6051,,
C,model,,,50,1,0.2,,5.64807,5.5174,,
C,model,,,50,0.3,0.3,,4.83247,25.1143,,
C,model,,,50,0.35,0.3,,4.86347,29.0981,,
C,model,,,50,0.4,0.3,,4.90076,25.127,,
C,model,,,50,0.5,0.3,,5.00301,20.7626,,
C,model,,,50,0.65,0.3,,5.14198,16.5876,,
C,model,,,50,0.8,0.3,,5.29018,12.1636,,
C,model,,,50,1,0.3,,5.42829,9.07144,,
C,model,,,60,0.4,0.2,,5.07219,21.3924,,
C,model,,,80,0.4,0.08,,5.49788,14.8107,,
C,model,,,80,0.5,0.08,,5.69354,9.38674,,
C,model,,,80,0.65,0.08,,5.80337,5.72616,,
C,model,,,80,0.4,0.1,,5.42062,15.0091,,
C,model,,,80,0.5,0.1,,5.61388,11.0584,,
C,model,,,80,0.65,0.1,,5.7539,7.07611,,
C,model,,,80,0.4,0.15,,5.15239,22.2367,,
C,model,,,80,0.5,0.15,,5.35749,15.5785,,
C,model,,,80,0.65,0.15,,5.56553,10.6785,,
C,model,,,80,0.65,0.2,,5.35529,14.3829,,
C,model,,,100,0.4,0.08,,5.40354,15.8171,,
C,model,,,100,0.5,0.08,,5.61353,12.4052,,
C,model,,,100,0.65,0.08,,5.796,6.90797,,
C,model,,,100,0.4,0.1,,5.2601,19.7039,,
C,model,,,100,0.5,0.1,,5.49134,14.4872,,
C,model,,,100,0.6,0.1,,5.40587,14.5079,,
C,model,,,100,0.65,0.1,,5.72436,8.59448,,
C,model,,,100,0.4,0.15,,5.06001,22.043,,
C,model,,,100,0.5,0.15,,5.24216,18.4788,,
C,model,,,100,0.65,0.15,,5.48048,13.9229,,
C,model,,,100,0.4,0.2,,4.94839,28.6816,,
C,model,,,100,0.65,0.2,,5.25885,19.3116,,
C,model,,,117.8,0.4,0.103,,5.16369,27.8995,,
C,model,,,120,0.4,0.08,,5.28296,24.239,,
C,model,,,120,0.5,0.08,,5.53948,14.2662,,
C,model,,,120,0.65,0.08,,5.75496,8.88405,,
C,model,,,120,0.4,0.1,,5.1465,29.1174,,
C,model,,,120,0.5,0.1,,5.41427,16.872,,
C,model,,,120,0.65,0.1,,5.63006,11.3601,,
C,model,,,120,0.4,0.15,,4.9717,31.7235,,
C,model,,,120,0.65,0.15,,5.38484,17.5757,,
C,model,,,120,0.65,0.2,,5.40298,17.7715,,
C,model,,,150,0.65,0.08,,5.66487,12.1023,,
C,model,,,150,0.65,0.1,,5.67221,16.2593,,
C,model,,,200,0.4,0.1,,5.23568,20.2983,,
C,model,,,200,0.6,0.1,,5.31262,20.1203,,
C,living worms,,,,,,10,5.78,3.29255,,
C,living worms,,,,,,20,6.18,4.8254,,
C,living worms,,,,,,30,5.83,5.05589,,
C,log-linear fit,,,,,,,,,-0.795189,5.37566
