panel,series,contour_length_mm,tau_tr_min
30 C,living worms,21.7183,1.7
30 C,living worms,21.7183,2.8
30 C,living worms,21.7183,2.36667
30 C,living worms,21.7183,7
30 C,living worms,21.7183,7.56667
30 C,living worms,21.7183,2.13333
30 C,living worms,21.7183,4.46667
30 C,living worms,21.7183,0.566667
30 C,living worms,21.7183,1.6
30 C,living worms,21.7183,9.23333
30 C,living worms,24.786,1.5
30 C,living worms,24.786,0.233333
30 C,living worms,24.786,0.7
30 C,living worms,24.786,8.6
30 C,living worms,24.786,2.83333
30 C,living worms,24.786,0.2
30 C,living worms,24.786,2.16667
30 C,living worms,24.786,2.36667
30 C,living worms,24.786,0.333333
30 C,living worms,24.786,0.4
30 C,living worms,24.786,1.36667
30 C,living worms,24.786,0.6
30 C,living worms,24.786,5.86667
30 C,living worms,24.786,7.43333
30 C,living worms,24.786,1.83333
30 C,living worms,24.786,0.733333
30 C,living worms,24.786,5.43333
30 C,living worms,24.786,7.16667
30 C,living worms,24.786,4.33333
30 C,living worms,24.786,0.966667
30 C,living worms,24.786,0.7
30 C,living worms,24.786,8.13333
30 C,living worms,24.786,4.06667
30 C,living worms,24.786,7.96667
30 C,living worms,24.786,3.76667
30 C,living worms,24.786,5.3
30 C,living worms,24.786,0.233333
30 C,living worms,24.786,2.63333
30 C,living worms,24.786,3.66667
30 C,living worms,24.786,8.8
30 C,living worms,24.786,0.3
30 C,living worms,24.786,0.233333
30 C,living worms,24.786,1.86667
30 C,living worms,24.786,0.366667
30 C,living worms,24.786,9.36667
30 C,living worms,24.786,0.233333
30 C,living worms,24.786,5.43333
30 C,living worms,24.786,0.633333
30 C,living worms,24.786,0.6
30 C,living worms,24.786,0.433333
30 C,living worms,24.786,0.333333
30 C,living worms,24.786,1.86667
30 C,living worms,24.786,2.76667
30 C,living worms,26.18,1.1
30 C,living worms,26.18,2.96667
30 C,living worms,26.18,0.366667
30 C,living worms,26.18,0.233333
30 C,living worms,26.18,2.33333
30 C,living worms,26.18,0.3
30 C,living worms,26.18,1.66667
30 C,living worms,26.18,2.36667
30 C,living worms,26.18,2.06667
30 C,living worms,26.18,0.2
30 C,living worms,26.18,1.96667
30 C,living worms,26.18,1.3
30 C,living worms,26.18,1
30 C,living worms,26.18,1.9
30 C,living worms,26.18,0.4
30 C,living worms,26.18,0.7
30 C,living worms,26.18,1.13333
30 C,living worms,26.18,0.633333
30 C,living worms,26.18,2.76667
30 C,living worms,26.18,0.233333
30 C,living worms,26.18,0.766667
30 C,living worms,26.18,0.366667
30 C,living worms,26.18,3.36667
30 C,living worms,26.18,0.233333
30 C,living worms,26.18,0.4
30 C,living worms,26.18,1.03333
30 C,living worms,26.18,0.566667
30 C,living worms,26.18,2.4
30 C,living worms,26.18,1.56667
30 C,living worms,26.18,0.366667
30 C,living worms,26.18,0.533333
