series,t_min,x_cm_mm
model 20 C,14.65,15.8986
model 20 C,14.6667,16.6486
model 20 C,14.6833,17.2103
model 20 C,14.7,17.6921
model 20 C,14.7167,17.8248
model 20 C,14.7333,18.0098
model 20 C,14.75,17.84
model 20 C,14.7667,17.6334
model 20 C,14.7833,17.0171
model 20 C,14.8,16.5101
model 20 C,14.8167,15.7719
model 20 C,14.8333,14.8751
model 20 C,14.85,13.8683
model 20 C,14.8667,12.8265
model 20 C,14.8833,11.7918
model 20 C,14.9,11.0281
model 20 C,14.9167,10.2859
model 20 C,14.9333,9.3409
model 20 C,14.95,8.4979
model 20 C,14.9667,7.7786
model 20 C,14.9833,7.18565
model 20 C,15,6.54765
model 20 C,15.0167,5.69675
model 20 C,15.0333,5.13655
model 20 C,15.05,4.76575
model 20 C,15.0667,4.2959
model 20 C,15.0833,3.9328
model 20 C,15.1,3.7728
model 20 C,15.1167,3.64855
model 20 C,15.1333,3.48815
model 20 C,15.15,3.2831
model 20 C,15.1667,3.09685
model 20 C,15.1833,3.05735
model 20 C,15.2,2.9226
model 20 C,15.2167,2.90665
model 20 C,15.2333,3.0363
model 20 C,15.25,3.1391
model 20 C,15.2667,3.575
model 20 C,15.2833,3.92515
model 20 C,15.3,4.1968
model 20 C,15.3167,4.39595
model 20 C,15.3333,4.5385
model 20 C,15.35,4.46195
model 20 C,15.3667,4.50725
model 20 C,15.3833,4.65915
model 20 C,15.4,4.96275
model 20 C,15.4167,5.3019
model 20 C,15.4333,5.594
model 20 C,15.45,5.81245
model 20 C,15.4667,6.0655
model 20 C,15.4833,6.0604
model 20 C,15.5,5.94745
model 20 C,15.5167,5.68645
model 20 C,15.5333,5.44375
model 20 C,15.55,5.2867
model 20 C,15.5667,5.24885
model 20 C,15.5833,5.30315
model 20 C,15.6,5.23355
model 20 C,15.6167,5.31285
model 20 C,15.6333,5.50445
model 20 C,15.65,5.6202
model 20 C,15.6667,5.83745
model 20 C,15.6833,5.927
model 20 C,15.7,5.7633
model 20 C,15.7167,5.77635
model 20 C,15.7333,5.79265
model 20 C,15.75,6.1085
model 20 C,15.7667,6.3264
model 20 C,15.7833,6.6403
model 20 C,15.8,7.12045
model 20 C,15.8167,7.62165
model 20 C,15.8333,8.1835
model 20 C,15.85,8.719
model 20 C,15.8667,9.164
model 20 C,15.8833,9.4028
model 20 C,15.9,9.68635
model 20 C,15.9167,9.75625
model 20 C,15.9333,9.7529
model 20 C,15.95,9.8396
model 20 C,15.9667,9.63065
model 20 C,15.9833,9.548
model 20 C,16,9.1725
model 20 C,16.0167,8.59025
model 20 C,16.0333,8.08025
model 20 C,16.05,7.4363
model 20 C,16.0667,6.6162
model 20 C,16.0833,6.12735
model 20 C,16.1,5.7654
model 20 C,16.1167,5.25275
model 20 C,16.1333,4.69805
model 20 C,16.15,4.47035
model 20 C,16.1667,4.42915
model 20 C,16.1833,4.51995
model 20 C,16.2,4.62435
model 20 C,16.2167,4.5815
model 20 C,16.2333,4.49745
model 20 C,16.25,4.3626
model 20 C,16.2667,4.378
model 20 C,16.2833,4.2873
model 20 C,16.3,4.4316
model 20 C,16.3167,4.29415
model 20 C,16.3333,4.19555
model 20 C,16.35,3.97695
model 20 C,16.3667,3.90815
model 20 C,16.3833,3.87225
model 20 C,16.4,3.60955
model 20 C,16.4167,3.38605
model 20 C,16.4333,3.18085
model 20 C,16.45,2.93625
model 20 C,16.4667,2.76665
model 20 C,16.4833,2.84555
model 20 C,16.5,2.84505
model 20 C,16.5167,2.7076
model 20 C,16.5333,2.72715
model 20 C,16.55,2.65205
model 20 C,16.5667,2.59385
model 20 C,16.5833,2.6568
model 20 C,16.6,2.58245
model 20 C,16.6167,2.6982
model 20 C,16.6333,2.63705
model 20 C,16.65,2.69605
model 20 C,16.6667,2.77235
model 20 C,16.6833,3.20605
model 20 C,16.7,3.59535
model 20 C,16.7167,3.94015
model 20 C,16.7333,4.30495
model 20 C,16.75,4.66185
model 20 C,16.7667,4.8672
model 20 C,16.7833,4.872
model 20 C,16.8,5.05505
model 20 C,16.8167,4.9903
model 20 C,16.8333,5.01815
model 20 C,16.85,5.1727
model 20 C,16.8667,5.37895
model 20 C,16.8833,5.7706
model 20 C,16.9,6.01175
model 20 C,16.9167,6.4802
model 20 C,16.9333,6.88275
model 20 C,16.95,7.3416
model 20 C,16.9667,7.7587
model 20 C,16.9833,8.3851
model 20 C,17,9.16535
model 20 C,17.0167,10.0345
model 20 C,17.0333,10.9287
model 20 C,17.05,12.0451
model 20 C,17.0667,13.0647
model 20 C,17.0833,14.2527
model 20 C,17.1,15.2829
model 20 C,17.1167,16.3778
model 20 C,17.1333,17.5275
model 20 C,17.15,18.6196
model 20 C,17.1667,19.7381
model 20 C,17.1833,21.0222
model 20 C,17.2,22.1607
model 20 C,17.2167,23.5046
model 20 C,17.2333,24.5822
model 20 C,17.25,25.9
model 20 C,17.2667,26.999
model 20 C,17.2833,27.7818
model 20 C,17.3,28.4664
model 20 C,17.3167,29.1083
model 20 C,17.3333,29.6043
model 20 C,17.35,30.1103
model 20 C,17.3667,30.393
model 20 C,17.3833,30.4671
model 20 C,17.4,30.4291
model 20 C,17.4167,30.1878
model 20 C,17.4333,30.0561
model 20 C,17.45,29.5246
model 20 C,17.4667,28.9774
model 20 C,17.4833,28.1962
model 20 C,17.5,27.2261
model 20 C,17.5167,26.2297
model 20 C,17.5333,24.9659
model 20 C,17.55,23.7494
model 20 C,17.5667,22.6534
model 20 C,17.5833,21.5449
model 20 C,17.6,20.4556
model 20 C,17.6167,19.361
model 20 C,17.6333,18.1898
model 20 C,17.65,16.9041
model 20 C,17.6667,15.837
model 20 C,17.6833,14.6353
model 20 C,17.7,13.5621
model 20 C,17.7167,12.5966
model 20 C,17.7333,11.5343
model 20 C,17.75,10.6847
model 20 C,17.7667,10.021
model 20 C,17.7833,9.21785
model 20 C,17.8,8.6322
model 20 C,17.8167,8.03795
model 20 C,17.8333,7.31725
model 20 C,17.85,6.6941
model 20 C,17.8667,6.2737
model 20 C,17.8833,5.7034
model 20 C,17.9,5.27275
model 20 C,17.9167,5.1799
