series,x_mm,y_mm,counts
living worms all temperatures,-0.735,-0.945,50
living worms all temperatures,-0.525,-0.945,71
living worms all temperatures,-0.315,-0.945,47
living worms all temperatures,-0.105,-0.945,46
living worms all temperatures,0.105,-0.945,46
living worms all temperatures,0.315,-0.945,47
living worms all temperatures,0.525,-0.945,42
living worms all temperatures,0.735,-0.945,43
living worms all temperatures,0.945,-0.945,64
living worms all temperatures,1.155,-0.945,43
living worms all temperatures,1.365,-0.945,59
living worms all temperatures,1.575,-0.945,47
living worms all temperatures,1.785,-0.945,39
living worms all temperatures,1.995,-0.945,55
living worms all temperatures,2.205,-0.945,48
living worms all temperatures,2.415,-0.945,49
living worms all temperatures,2.625,-0.945,70
living worms all temperatures,2.835,-0.945,53
living worms all temperatures,3.045,-0.945,82
living worms all temperatures,3.255,-0.945,78
living worms all temperatures,3.465,-0.945,118
living worms all temperatures,3.675,-0.945,119
living worms all temperatures,3.885,-0.945,48
living worms all temperatures,-3.885,-0.735,77
living worms all temperatures,-3.675,-0.735,84
living worms all temperatures,-3.465,-0.735,70
living worms all temperatures,-3.255,-0.735,55
living worms all temperatures,-3.045,-0.735,71
living worms all temperatures,-2.835,-0.735,77
living worms all temperatures,-2.625,-0.735,84
living worms all temperatures,-2.415,-0.735,67
living worms all temperatures,-2.205,-0.735,49
living worms all temperatures,-1.995,-0.735,54
living worms all temperatures,-1.785,-0.735,48
living worms all temperatures,-1.575,-0.735,69
living worms all temperatures,-1.365,-0.735,62
living worms all temperatures,-1.155,-0.735,40
living worms all temperatures,-0.945,-0.735,70
living worms all temperatures,-0.735,-0.735,54
living worms all temperatures,-0.525,-0.735,53
living worms all temperatures,-0.315,-0.735,45
living worms all temperatures,-0.105,-0.735,44
living worms all temperatures,0.105,-0.735,42
living worms all temperatures,0.315,-0.735,36
living worms all temperatures,0.525,-0.735,50
living worms all temperatures,0.735,-0.735,54
living worms all temperatures,0.945,-0.735,36
living worms all temperatures,1.155,-0.735,43
living worms all temperatures,1.365,-0.735,44
living worms all temperatures,1.575,-0.735,38
living worms all temperatures,1.785,-0.735,36
living worms all temperatures,1.995,-0.735,34
living worms all temperatures,2.205,-0.735,62
living worms all temperatures,2.415,-0.735,50
living worms all temperatures,2.625,-0.735,46
living worms all temperatures,2.835,-0.735,60
living worms all temperatures,3.045,-0.735,69
living worms all temperatures,3.255,-0.735,88
living worms all temperatures,3.465,-0.735,88
living worms all temperatures,3.675,-0.735,129
living worms all temperatures,3.885,-0.735,76
living worms all temperatures,-3.885,-0.525,80
living worms all temperatures,-3.675,-0.525,81
living worms all temperatures,-3.465,-0.525,53
living worms all temperatures,-3.255,-0.525,87
living worms all temperatures,-3.045,-0.525,93
living worms all temperatures,-2.835,-0.525,81
living worms all temperatures,-2.625,-0.525,70
living worms all temperatures,-2.415,-0.525,64
living worms all temperatures,-2.205,-0.525,87
living worms all temperatures,-1.995,-0.525,65
living worms all temperatures,-1.785,-0.525,71
living worms all temperatures,-1.575,-0.525,65
living worms all temperatures,-1.365,-0.525,49
living worms all temperatures,-1.155,-0.525,52
living worms all temperatures,-0.945,-0.525,51
living worms all temperatures,-0.735,-0.525,64
living worms all temperatures,-0.525,-0.525,63
living worms all temperatures,-0.315,-0.525,72
living worms all temperatures,-0.105,-0.525,53
living worms all temperatures,0.105,-0.525,44
living worms all temperatures,0.315,-0.525,40
living worms all temperatures,0.525,-0.525,47
living worms all temperatures,0.735,-0.525,61
living worms all temperatures,0.945,-0.525,46
living worms all temperatures,1.155,-0.525,49
living worms all temperatures,1.365,-0.525,48
living worms all temperatures,1.575,-0.525,46
living worms all temperatures,1.785,-0.525,58
living worms all temperatures,1.995,-0.525,56
living worms all temperatures,2.205,-0.525,42
living worms all temperatures,2.415,-0.525,70
living worms all temperatures,2.625,-0.525,64
living worms all temperatures,2.835,-0.525,70
living worms all temperatures,3.045,-0.525,75
living worms all temperatures,3.255,-0.525,91
living worms all temperatures,3.465,-0.525,110
living worms all temperatures,3.675,-0.525,115
living worms all temperatures,3.885,-0.525,114
living worms all temperatures,-3.885,-0.315,75
living worms all temperatures,-3.675,-0.315,70
living worms all temperatures,-3.465,-0.315,59
living worms all temperatures,-3.255,-0.315,62
living worms all temperatures,-3.045,-0.315,60
living worms all temperatures,-2.835,-0.315,62
living worms all temperatures,-2.625,-0.315,76
living worms all temperatures,-2.415,-0.315,66
living worms all temperatures,-2.205,-0.315,60
living worms all temperatures,-1.995,-0.315,80
living worms all temperatures,-1.785,-0.315,86
living worms all temperatures,-1.575,-0.315,99
living worms all temperatures,-1.365,-0.315,59
living worms all temperatures,-1.155,-0.315,52
living worms all temperatures,-0.945,-0.315,45
living worms all temperatures,-0.735,-0.315,48
living worms all temperatures,-0.525,-0.315,54
living worms all temperatures,-0.315,-0.315,49
living worms all temperatures,-0.105,-0.315,57
living worms all temperatures,0.105,-0.315,29
living worms all temperatures,0.315,-0.315,33
living worms all temperatures,0.525,-0.315,34
living worms all temperatures,0.735,-0.315,46
living worms all temperatures,0.945,-0.315,38
living worms all temperatures,1.155,-0.315,45
living worms all temperatures,1.365,-0.315,37
living worms all temperatures,1.575,-0.315,24
living worms all temperatures,1.785,-0.315,32
living worms all temperatures,1.995,-0.315,53
living worms all temperatures,2.205,-0.315,55
living worms all temperatures,2.415,-0.315,61
living worms all temperatures,2.625,-0.315,60
living worms all temperatures,2.835,-0.315,49
living worms all temperatures,3.045,-0.315,50
living worms all temperatures,3.255,-0.315,70
living worms all temperatures,3.465,-0.315,94
living worms all temperatures,3.675,-0.315,84
living worms all temperatures,3.885,-0.315,111
living worms all temperatures,-3.885,-0.105,51
living worms all temperatures,-3.675,-0.105,41
living worms all temperatures,-3.465,-0.105,64
living worms all temperatures,-3.255,-0.105,62
living worms all temperatures,-3.045,-0.105,60
living worms all temperatures,-2.835,-0.105,57
living worms all temperatures,-2.625,-0.105,50
living worms all temperatures,-2.415,-0.105,54
living worms all temperatures,-2.205,-0.105,54
living worms all temperatures,-1.995,-0.105,75
living worms all temperatures,-1.785,-0.105,41
living worms all temperatures,-1.575,-0.105,56
living worms all temperatures,-1.365,-0.105,57
living worms all temperatures,-1.155,-0.105,58
living worms all temperatures,-0.945,-0.105,59
living worms all temperatures,-0.735,-0.105,62
living worms all temperatures,-0.525,-0.105,69
living worms all temperatures,-0.315,-0.105,46
living worms all temperatures,-0.105,-0.105,51
living worms all temperatures,0.105,-0.105,27
living worms all temperatures,0.315,-0.105,34
living worms all temperatures,0.525,-0.105,35
living worms all temperatures,0.735,-0.105,74
living worms all temperatures,0.945,-0.105,44
living worms all temperatures,1.155,-0.105,25
living worms all temperatures,1.365,-0.105,26
living worms all temperatures,1.575,-0.105,38
living worms all temperatures,1.785,-0.105,34
living worms all temperatures,1.995,-0.105,53
living worms all temperatures,2.205,-0.105,42
living worms all temperatures,2.415,-0.105,56
living worms all temperatures,2.625,-0.105,42
living worms all temperatures,2.835,-0.105,59
