panel,series,t_min,angular_msd_rad2,fitted_D_theta_per_min,translational_msd_mm2,plateau_mm2,tau_d_min,x_mm,y_mm,counts,temperature_C,tau_theta_s,tau_d_s,tau_theta_min,tau_tr_min,fa_nN,kappa_over_uE,T_star,tau_tr_inf_min,n_runs,pe_number,tau_tr_over_tau_tr_inf
A,living worms 30 C,0.166667,5.53246,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.2,6.4796,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.233333,7.39271,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.266667,8.29003,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.3,9.18575,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.333333,10.1057,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.366667,11.0373,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.4,11.9804,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.433333,12.9183,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.466667,13.8984,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.5,14.7778,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.533333,15.7232,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.566667,16.5948,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.6,17.5272,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.633333,18.4765,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.666667,19.4512,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.7,20.3969,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.733333,21.3604,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.766667,22.3832,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.8,23.3588,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.833333,24.3551,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.866667,24.8859,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.9,26.0986,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.933333,27.342,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.966667,28.0428,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1,30.0082,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.03333,30.6192,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.06667,32.6793,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.1,31.5606,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.13333,32.4767,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.16667,31.827,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.2,32.7826,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.23333,33.9019,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.26667,35.4003,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.3,33.4947,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.33333,35.067,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.36667,35.3471,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.4,34.8224,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.43333,35.0719,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.46667,34.829,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.5,36.8157,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.53333,36.8069,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.56667,37.6589,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.6,39.1105,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.63333,41.394,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,1.66667,43.8807,14.2168,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.0666667,2.60118,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.0721088,2.75592,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.077551,2.91066,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.0829932,3.0654,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.0884354,3.22014,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.0938776,3.37488,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.0993197,3.52962,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.104762,3.68436,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.110204,3.8391,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.115646,3.99385,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.121088,4.14859,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.126531,4.30333,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.131973,4.45807,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.137415,4.61281,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.142857,4.76755,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.148299,4.92229,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.153741,5.07703,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.159184,5.23177,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.164626,5.38651,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.170068,5.54126,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.17551,5.696,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.180952,5.85074,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.186395,6.00548,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.191837,6.16022,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.197279,6.31496,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.202721,6.4697,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.208163,6.62444,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.213605,6.77918,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.219048,6.93392,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.22449,7.08867,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.229932,7.24341,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.235374,7.39815,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.240816,7.55289,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.246259,7.70763,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.251701,7.86237,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.257143,8.01711,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.262585,8.17185,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.268027,8.32659,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.273469,8.48133,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.278912,8.63608,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.284354,8.79082,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.289796,8.94556,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.295238,9.1003,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.30068,9.25504,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.306122,9.40978,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.311565,9.56452,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.317007,9.71926,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.322449,9.874,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.327891,10.0287,,,,,,,,,,,,,,,,,,,
A,linear fit 30 C,0.333333,10.1835,,,,,,,,,,,,,,,,,,,
B,living worms 10 C,0.0333333,,,5.43299,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.0666667,,,7.53308,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.1,,,9.08233,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.133333,,,10.1779,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.166667,,,11.1187,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.2,,,11.9141,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.233333,,,12.5356,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.266667,,,12.9453,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.3,,,13.3689,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.333333,,,13.7005,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.366667,,,14.0381,15.8758,0.947088,,,,,,,,,,,,,,,
