panel,series,t_min,x_cm_mm,probability_density_per_mm,Rg_over_lc,Re_over_lc,probability
C,living worm 20 C,11.7667,6.061,,,,
C,living worm 20 C,11.8,10.039,,,,
C,living worm 20 C,11.8333,15.343,,,,
C,living worm 20 C,11.8667,16.737,,,,
C,living worm 20 C,11.9,14.867,,,,
C,living worm 20 C,11.9333,14.493,,,,
C,living worm 20 C,11.9667,14.765,,,,
C,living worm 20 C,12,13.507,,,,
C,living worm 20 C,12.0333,10.005,,,,
C,living worm 20 C,12.0667,8.883,,,,
C,living worm 20 C,12.1,6.877,,,,
C,living worm 20 C,12.1333,7.387,,,,
C,living worm 20 C,12.1667,7.591,,,,
C,living worm 20 C,12.2,7.795,,,,
C,living worm 20 C,12.2333,6.129,,,,
C,living worm 20 C,12.2667,5.517,,,,
C,living worm 20 C,12.3,4.599,,,,
C,living worm 20 C,12.3333,4.769,,,,
C,living worm 20 C,12.3667,5.041,,,,
C,living worm 20 C,12.4,4.293,,,,
C,living worm 20 C,12.4333,4.361,,,,
C,living worm 20 C,12.4667,4.803,,,,
C,living worm 20 C,12.5,5.279,,,,
C,living worm 20 C,12.5333,3.953,,,,
C,living worm 20 C,12.5667,3.987,,,,
C,living worm 20 C,12.6,3.545,,,,
C,living worm 20 C,12.6333,4.191,,,,
C,living worm 20 C,12.6667,4.463,,,,
C,living worm 20 C,12.7,2.831,,,,
C,living worm 20 C,12.7333,2.474,,,,
C,living worm 20 C,12.7667,3.171,,,,
C,living worm 20 C,12.8,2.899,,,,
C,living worm 20 C,12.8333,2.423,,,,
C,living worm 20 C,12.8667,3.681,,,,
C,living worm 20 C,12.9,3.137,,,,
C,living worm 20 C,12.9333,5.041,,,,
C,living worm 20 C,12.9667,5.585,,,,
C,living worm 20 C,13,5.551,,,,
C,living worm 20 C,13.0333,4.905,,,,
C,living worm 20 C,13.0667,5.347,,,,
C,living worm 20 C,13.1,5.177,,,,
C,living worm 20 C,13.1333,5.755,,,,
C,living worm 20 C,13.1667,4.905,,,,
C,living worm 20 C,13.2,4.599,,,,
C,living worm 20 C,13.2333,4.599,,,,
C,living worm 20 C,13.2667,5.619,,,,
C,living worm 20 C,13.3,4.633,,,,
C,living worm 20 C,13.3333,3.681,,,,
C,living worm 20 C,13.3667,2.423,,,,
C,living worm 20 C,13.4,3.341,,,,
C,living worm 20 C,13.4333,2.865,,,,
C,living worm 20 C,13.4667,3.392,,,,
C,living worm 20 C,13.5,3.987,,,,
C,living worm 20 C,13.5333,3.817,,,,
C,living worm 20 C,13.5667,3.749,,,,
C,living worm 20 C,13.6,3.239,,,,
C,living worm 20 C,13.6333,4.259,,,,
C,living worm 20 C,13.6667,4.735,,,,
C,living worm 20 C,13.7,5.279,,,,
C,living worm 20 C,13.7333,5.313,,,,
C,living worm 20 C,13.7667,4.667,,,,
C,living worm 20 C,13.8,4.633,,,,
C,living worm 20 C,13.8333,3.783,,,,
C,living worm 20 C,13.8667,4.293,,,,
C,living worm 20 C,13.9,4.973,,,,
C,living worm 20 C,13.9333,3.851,,,,
C,living worm 20 C,13.9667,3.001,,,,
C,living worm 20 C,14,3.443,,,,
C,living worm 20 C,14.0333,3.817,,,,
C,living worm 20 C,14.0667,5.449,,,,
C,living worm 20 C,14.1,4.599,,,,
C,living worm 20 C,14.1333,4.769,,,,
C,living worm 20 C,14.1667,4.361,,,,
C,living worm 20 C,14.2,4.565,,,,
C,living worm 20 C,14.2333,3.987,,,,
C,living worm 20 C,14.2667,3.953,,,,
C,living worm 20 C,14.3,4.225,,,,
C,living worm 20 C,14.3333,4.871,,,,
C,living worm 20 C,14.3667,5.687,,,,
C,living worm 20 C,14.4,4.939,,,,
C,living worm 20 C,14.4333,3.375,,,,
C,living worm 20 C,14.4667,2.661,,,,
C,living worm 20 C,14.5,3.545,,,,
C,living worm 20 C,14.5333,3.443,,,,
C,living worm 20 C,14.5667,4.021,,,,
C,living worm 20 C,14.6,4.395,,,,
C,living worm 20 C,14.6333,4.293,,,,
C,living worm 20 C,14.6667,2.593,,,,
C,living worm 20 C,14.7,4.191,,,,
C,living worm 20 C,14.7333,2.559,,,,
C,living worm 20 C,14.7667,4.565,,,,
C,living worm 20 C,14.8,4.191,,,,
C,living worm 20 C,14.8333,3.817,,,,
C,living worm 20 C,14.8667,3.409,,,,
C,living worm 20 C,14.9,4.055,,,,
C,living worm 20 C,14.9333,4.395,,,,
C,living worm 20 C,14.9667,3.749,,,,
C,living worm 20 C,15,3.987,,,,
