series,t_min,x_cm_mm
living worm 20 C,18.5667,54.273
living worm 20 C,18.6,55.735
living worm 20 C,18.6333,54.953
living worm 20 C,18.6667,54.103
living worm 20 C,18.7,54.341
living worm 20 C,18.7333,54.817
living worm 20 C,18.7667,55.259
living worm 20 C,18.8,55.395
living worm 20 C,18.8333,55.327
living worm 20 C,18.8667,55.055
living worm 20 C,18.9,56.517
living worm 20 C,18.9333,56.449
living worm 20 C,18.9667,57.537
living worm 20 C,19,57.605
living worm 20 C,19.0333,58.897
living worm 20 C,19.0667,64.099
living worm 20 C,19.1,65.969
living worm 20 C,19.1333,72.395
living worm 20 C,19.1667,74.537
living worm 20 C,19.2,78.855
living worm 20 C,19.2333,82.901
living worm 20 C,19.2667,84.907
living worm 20 C,19.3,85.757
living worm 20 C,19.3333,87.083
living worm 20 C,19.3667,87.797
living worm 20 C,19.4,88.103
living worm 20 C,19.4333,88.103
living worm 20 C,19.4667,87.661
living worm 20 C,19.5,88.613
living worm 20 C,19.5333,89.531
living worm 20 C,19.5667,89.837
living worm 20 C,19.6,89.429
living worm 20 C,19.6333,91.299
living worm 20 C,19.6667,91.197
living worm 20 C,19.7,90.755
living worm 20 C,19.7333,90.789
living worm 20 C,19.7667,90.942
living worm 20 C,19.8,92.217
living worm 20 C,19.8333,91.979
living worm 20 C,19.8667,91.027
living worm 20 C,19.9,90.687
living worm 20 C,19.9333,90.211
living worm 20 C,19.9667,90.143
living worm 20 C,20,91.231
living worm 20 C,20.0333,90.925
living worm 20 C,20.0667,89.701
living worm 20 C,20.1,90.585
living worm 20 C,20.1333,92.149
living worm 20 C,20.1667,92.761
living worm 20 C,20.2,93.305
living worm 20 C,20.2333,93.713
living worm 20 C,20.2667,93.305
living worm 20 C,20.3,91.265
living worm 20 C,20.3333,90.993
living worm 20 C,20.3667,91.061
living worm 20 C,20.4,91.809
living worm 20 C,20.4333,92.795
living worm 20 C,20.4667,91.843
living worm 20 C,20.5,91.469
living worm 20 C,20.5333,92.489
living worm 20 C,20.5667,92.795
living worm 20 C,20.6,92.897
living worm 20 C,20.6333,92.965
living worm 20 C,20.6667,93.339
living worm 20 C,20.7,92.761
living worm 20 C,20.7333,92.251
living worm 20 C,20.7667,92.693
living worm 20 C,20.8,92.353
living worm 20 C,20.8333,93.305
living worm 20 C,20.8667,94.019
living worm 20 C,20.9,92.489
living worm 20 C,20.9333,93.101
living worm 20 C,20.9667,92.625
living worm 20 C,21,92.693
living worm 20 C,21.0333,93.271
living worm 20 C,21.0667,93.067
living worm 20 C,21.1,93.169
living worm 20 C,21.1333,93.203
living worm 20 C,21.1667,93.169
living worm 20 C,21.2,93.033
living worm 20 C,21.2333,92.727
living worm 20 C,21.2667,93.305
living worm 20 C,21.3,92.659
living worm 20 C,21.3333,92.047
living worm 20 C,21.3667,90.041
living worm 20 C,21.4,85.791
living worm 20 C,21.4333,82.119
living worm 20 C,21.4667,80.929
living worm 20 C,21.5,76.985
living worm 20 C,21.5333,72.293
living worm 20 C,21.5667,68.621
living worm 20 C,21.6,67.057
living worm 20 C,21.6333,68.281
living worm 20 C,21.6667,68.077
living worm 20 C,21.7,67.669
living worm 20 C,21.7333,67.125
living worm 20 C,21.7667,65.493
living worm 20 C,21.8,63.555
living worm 20 C,21.8333,60.801
living worm 20 C,21.8667,59.033
living worm 20 C,21.9,59.577
living worm 20 C,21.9333,57.061
living worm 20 C,21.9667,55.667
living worm 20 C,22,51.825
living worm 20 C,22.0333,50.839
living worm 20 C,22.0667,47.235
living worm 20 C,22.1,45.399
living worm 20 C,22.1333,40.401
living worm 20 C,22.1667,37.307
living worm 20 C,22.2,34.723
living worm 20 C,22.2333,31.867
living worm 20 C,22.2667,28.161
